区域,城市,年份,文件类型,支出类别,匹配关键词,原文片段,金额（万元）,页码,文件名
东部,上海,2021,财政决算报告,physical,未明确方向,全市一般公共预算支出8430.9亿元，完成调整预算的100.6%，增长4.1%,84309000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,加上上解中央财政支出210.4亿元、地方政府一般债务还本支出421.4亿元、补充预算稳定调节基金866.7亿元、调出资金0.9亿元、结转下年支出154.4亿元，支出总量为10084.7亿元,2104000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,市级一般公共预算支出2843.3亿元，完成调整预算的104.2%，增长3.3%,28433000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,加上上解中央财政支出210.4亿元、市对区税收返还和转移支付支出1692.6亿元、地方政府一般债务还本支出142.2亿元、地方政府一般债务转贷支出262.9亿元、补充预算稳定调节基金194.8亿元、调出资金0.9亿元、结转下年支出28.2亿元，支出总量为5375.3亿元,2104000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,与2022年1月向市十五届人大六次会议报告的执行数相比，市级一般公共预算收支总量一致，其中中央与本市两级财政最终结算后上解中央财政支出减少4.6亿元，全部用于补充预算稳定调节基金,46000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,从支出决算具体情况看，市级支出2843.3亿元，完成调整预算的104.2%,28433000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,教育支出,其中：教育支出296.5亿元，完成调整预算的101.4%,2965000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,科学技术支出225亿元，完成预算的95.9%,2250000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,社会保障和就业,社会保障和就业支出430亿元，完成预算的99.6%,4300000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,卫生健康,卫生健康支出283.5亿元，完成调整预算的106%,2835000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,公共安全支出194.7亿元，完成预算的110.3%,1947000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,农林水,农林水支出91.3亿元，完成调整预算的120.4%,913000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,城乡社区支出303.5亿元，完成调整预算的98.7%,3035000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,交通运输,交通运输支出298.3亿元，完成调整预算的141.5%,2983000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市对区一般公共预算转移支付1003.5亿元，完成预算的97.6%，其中，一般性转移支付665.3亿元，专项转移支付338.2亿元,10035000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,human,医院,2021年，按预算法规定安排的市级预备费70亿元，主要用于预算执行中增加安排新冠疫苗接种经费、疫情防控经费、市级公立医院开办及设备购置经费、公共污水处理系统运营经费、道路合杆整治经费等支出,700000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市级使用以前年度结转资金安排的支出44亿元,440000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,2021年，市级“三公”经费财政拨款支出合计3.35亿元，比预算数减少4.05亿元，主要是各部门严格落实党政机关带头过紧日子要求，从严控制和压缩“三公”经费支出，以及受新冠肺炎疫情影响减少“三公”支出,33500.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,全市政府性基金预算支出3568.5亿元，完成调整预算的92.3%，下降3.5%,35685000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,加上地方政府专项债务还本支出423.8亿元、调出资金300.5亿元、结转下年支出794亿元，支出总量为5086.8亿元,4238000.0,,上海市2025年预算.txt
东部,上海,2021,财政决算报告,physical,未明确方向,市级政府性基金预算支出915.8亿元，完成调整预算的99.1%，下降10.1%,9158000.0,,上海市2025年预算.txt
